anchor_id,positive_id,negative_id
SOCMHUW12A58A7A5A1,SOQYHDK12AB0186B01,SONDLZB12CF5F88189
SOWYDEL12A8C14108E,SOASUHX12A8C141093,SOVSCNQ12AB017C430
SONJQCG12A6701FDA2,SOIPWJJ12AB018404A,SOXQYSC12A6310E908
SOUMUDO12A67ADE9A5,SOJHNYL12A67ADD743,SOOYAKF12A8C131D35
SOZAMXP12AC468E18D,SOHBVFY12AC468E181,SOVRZEQ12A6D4F6DAB
SOFDEMJ12A8C13410C,SOUKKXH12A8C134151,SOSAXUZ12AB017E09D
SOGDTJU12AB01879E3,SOWXAVV12A58A7A3F0,SOIOKCW12AAF3B4C14
SOEMDYJ12AB017F694,SOIIENY12AB017F6B5,SOJIVAI12AC468E08E
SOTLKVX12A8C13BE9F,SOBCCVG12A8C13804C,SOXCMUC12A8C137A50
SODHXXN12AC46899D2,SOGUEML12AB01850DA,SORQNSH12AB018BD1B
SOPZKEV12AB0181C68,SOEFRIB12AC4687B04,SOSFQRS12AC3DF847D
SOPGISS12A8C138E07,SOCZKHT12A6D4F6946,SOWIKCH12A8C139B84
SOUMINF12AB017F715,SOUAYCR12AB017F70A,SOXGQFU12AC468E18B
SORPMJO12AB0182A9A,SOIWKKU12AB0180EF2,SOGXWAU12A8C13BDB7
SOHONLI12AC9DCDF8B,SOVKLPI12AB018826F,SOKJSKM12AB017F087
SOSOQYT12AB01859E8,SOJKJZO12AB0185A1E,SOUUYKC12AB018955F
SOBDGPL12A6D4F85EF,SOVBFYH12A6D4F85CB,SODAYYQ12A8C13D77B
SOTMNLX12A58A7BC40,SOSYCEV12AB017D900,SODVXHP12AB018F55A
SOMAKMC12A8C13378A,SOARTHE12A8C134F1C,SOPUAKC12A58A78E8F
SOEAJYC12A81C20869,SOFJYJY12A8C137B9F,SOBIVXW12CF5F892F6
SOBVCVL12A81C217BC,SOWNVVB12A81C217B5,SOBESUT12A67ADBDC0
SOVVFUP12CF5CFD717,SOPGOFU12AB0186818,SOWVROE12A6D4FBB23
SOADTAQ12A67AD8458,SONGFVP12A67AD8463,SOPHPDU12A8C144867
SOCPFUN12AB01877E5,SOIWDID12AB01877F7,SOEZRLV12AB018107F
